Episode,TotalReward
1,10.0
2,10.0
3,10.0
4,10.0
5,10.0
6,9.0
7,10.0
8,9.0
9,9.0
10,10.0
11,9.0
12,11.0
13,10.0
14,10.0
15,10.0
16,9.0
17,8.0
18,9.0
19,10.0
20,9.0
21,8.0
22,10.0
23,10.0
24,9.0
25,8.0
26,10.0
27,9.0
28,10.0
29,10.0
30,10.0
31,9.0
32,10.0
33,8.0
34,8.0
35,9.0
36,9.0
37,10.0
38,9.0
39,9.0
40,9.0
41,10.0
42,10.0
43,10.0
44,8.0
45,9.0
46,10.0
47,10.0
48,9.0
49,8.0
50,9.0
51,9.0
52,10.0
53,10.0
54,10.0
55,10.0
56,10.0
57,10.0
58,8.0
59,11.0
60,9.0
61,9.0
62,9.0
63,9.0
64,10.0
65,10.0
66,9.0
67,8.0
68,8.0
69,9.0
70,9.0
71,10.0
72,10.0
73,8.0
74,10.0
75,10.0
76,9.0
77,9.0
78,8.0
79,9.0
80,10.0
81,9.0
82,9.0
83,8.0
84,9.0
85,10.0
86,9.0
87,9.0
88,9.0
89,9.0
90,9.0
91,9.0
92,9.0
93,9.0
94,10.0
95,10.0
96,9.0
97,9.0
98,9.0
99,10.0
100,9.0
101,9.0
102,9.0
103,9.0
104,8.0
105,8.0
106,10.0
107,9.0
108,10.0
109,8.0
110,8.0
111,10.0
112,11.0
113,10.0
114,10.0
115,9.0
116,9.0
117,11.0
118,10.0
119,9.0
120,10.0
121,9.0
122,10.0
123,10.0
124,9.0
125,10.0
126,10.0
127,10.0
128,9.0
129,9.0
130,8.0
131,9.0
132,10.0
133,9.0
134,9.0
135,11.0
136,9.0
137,10.0
138,8.0
139,9.0
140,9.0
141,9.0
142,10.0
143,10.0
144,10.0
145,9.0
146,9.0
147,9.0
148,9.0
149,10.0
150,10.0
151,10.0
152,10.0
153,9.0
154,9.0
155,9.0
156,9.0
157,8.0
158,10.0
159,9.0
160,9.0
161,9.0
162,11.0
163,8.0
164,10.0
165,10.0
166,9.0
167,9.0
168,10.0
169,10.0
170,10.0
171,9.0
172,10.0
173,10.0
174,10.0
175,10.0
176,8.0
177,8.0
178,8.0
179,10.0
180,9.0
181,10.0
182,11.0
183,8.0
184,9.0
185,10.0
186,8.0
187,9.0
188,10.0
189,10.0
190,9.0
191,9.0
192,10.0
193,9.0
194,8.0
195,11.0
196,9.0
197,9.0
198,9.0
199,9.0
200,9.0
201,10.0
202,8.0
203,10.0
204,10.0
205,9.0
206,8.0
207,9.0
208,10.0
209,9.0
210,11.0
211,10.0
212,8.0
213,9.0
214,9.0
215,8.0
216,10.0
217,11.0
218,8.0
219,10.0
220,10.0
221,9.0
222,9.0
223,9.0
224,9.0
225,10.0
226,10.0
227,9.0
228,9.0
229,9.0
230,10.0
231,9.0
232,10.0
233,10.0
234,8.0
235,11.0
236,10.0
237,8.0
238,9.0
239,10.0
240,9.0
241,9.0
242,9.0
243,9.0
244,10.0
245,9.0
246,9.0
247,9.0
248,9.0
249,9.0
250,8.0
251,9.0
252,10.0
253,10.0
254,8.0
255,9.0
256,9.0
257,9.0
258,9.0
259,10.0
260,9.0
261,9.0
262,9.0
263,10.0
264,10.0
265,10.0
266,10.0
267,10.0
268,10.0
269,10.0
270,9.0
271,10.0
272,9.0
273,9.0
274,10.0
275,9.0
276,11.0
277,8.0
278,9.0
279,10.0
280,10.0
281,8.0
282,9.0
283,10.0
284,9.0
285,9.0
286,10.0
287,9.0
288,10.0
289,10.0
290,11.0
291,9.0
292,10.0
293,11.0
294,9.0
295,9.0
296,10.0
297,10.0
298,9.0
299,10.0
300,9.0
301,10.0
302,10.0
303,10.0
304,9.0
305,9.0
306,8.0
307,10.0
308,10.0
309,9.0
310,10.0
311,10.0
312,10.0
313,11.0
314,9.0
315,10.0
316,10.0
317,10.0
318,8.0
319,10.0
320,11.0
321,10.0
322,10.0
323,9.0
324,10.0
325,9.0
326,9.0
327,10.0
328,9.0
329,11.0
330,10.0
331,9.0
332,10.0
333,10.0
334,9.0
335,9.0
336,8.0
337,10.0
338,10.0
339,11.0
340,10.0
341,8.0
342,10.0
343,10.0
344,8.0
345,9.0
346,10.0
347,10.0
348,10.0
349,11.0
350,10.0
351,9.0
352,8.0
353,9.0
354,10.0
355,10.0
356,10.0
357,11.0
358,10.0
359,9.0
360,10.0
361,10.0
362,10.0
363,9.0
364,10.0
365,8.0
366,10.0
367,10.0
368,10.0
369,8.0
370,10.0
371,9.0
372,10.0
373,10.0
374,9.0
375,9.0
376,10.0
377,9.0
378,10.0
379,10.0
380,9.0
381,10.0
382,8.0
383,9.0
384,10.0
385,10.0
386,10.0
387,9.0
388,11.0
389,10.0
390,8.0
391,8.0
392,9.0
393,9.0
394,9.0
395,9.0
396,10.0
397,11.0
398,8.0
399,9.0
400,10.0
401,10.0
402,8.0
403,8.0
404,9.0
405,8.0
406,9.0
407,10.0
408,10.0
409,9.0
410,10.0
411,9.0
412,9.0
413,9.0
414,10.0
415,9.0
416,10.0
417,9.0
418,9.0
419,8.0
420,10.0
421,10.0
422,9.0
423,10.0
424,10.0
425,9.0
426,11.0
427,9.0
428,8.0
429,9.0
430,10.0
431,8.0
432,9.0
433,10.0
434,9.0
435,10.0
436,10.0
437,10.0
438,9.0
439,9.0
440,11.0
441,10.0
442,10.0
443,9.0
444,9.0
445,8.0
446,10.0
447,8.0
448,8.0
449,10.0
450,8.0
451,9.0
452,8.0
453,10.0
454,8.0
455,10.0
456,8.0
457,11.0
458,10.0
459,9.0
460,10.0
461,8.0
462,8.0
463,8.0
464,9.0
465,9.0
466,9.0
467,10.0
468,10.0
469,10.0
470,9.0
471,10.0
472,11.0
473,9.0
474,8.0
475,10.0
476,9.0
477,10.0
478,10.0
479,9.0
480,10.0
481,10.0
482,9.0
483,9.0
484,10.0
485,9.0
486,10.0
487,10.0
488,9.0
489,9.0
490,10.0
491,10.0
492,9.0
493,10.0
494,9.0
495,10.0
496,9.0
497,10.0
498,10.0
499,9.0
500,8.0
1,8.0
2,10.0
3,9.0
4,8.0
5,10.0
6,9.0
7,9.0
8,9.0
9,10.0
10,8.0
11,10.0
12,10.0
13,10.0
14,10.0
15,9.0
16,10.0
17,10.0
18,10.0
19,10.0
20,9.0
1,10.0
2,10.0
3,10.0
4,9.0
5,11.0
6,10.0
7,8.0
8,9.0
9,10.0
10,10.0
11,10.0
12,9.0
13,10.0
14,10.0
15,9.0
16,9.0
17,9.0
18,10.0
19,10.0
20,8.0
21,10.0
22,9.0
23,9.0
24,8.0
25,10.0
26,10.0
27,9.0
28,9.0
29,8.0
30,11.0
31,10.0
32,11.0
33,9.0
34,9.0
35,9.0
36,8.0
37,11.0
38,9.0
39,9.0
40,9.0
41,10.0
42,10.0
43,9.0
44,10.0
45,9.0
46,10.0
47,10.0
48,10.0
49,10.0
50,9.0
1,9.0
2,9.0
3,9.0
4,9.0
5,10.0
6,10.0
7,10.0
8,10.0
9,10.0
10,10.0
11,8.0
12,10.0
13,10.0
14,9.0
15,10.0
16,9.0
17,10.0
18,11.0
19,9.0
20,10.0
21,9.0
22,11.0
1,10.0
2,10.0
3,8.0
4,10.0
5,9.0
6,9.0
7,8.0
8,9.0
9,9.0
10,10.0
11,11.0
12,9.0
13,9.0
14,9.0
15,8.0
16,8.0
17,9.0
18,8.0
19,10.0
20,10.0
1,cartpole,21.0
1,cartpole,35.0
1,cartpole,17.0
2,mountaincar,-200.0
3,mountaincar,-200.0
4,mountaincar,-200.0
1,cartpole,24.0
1,cartpole,13.0
2,mountaincar,-200.0
3,mountaincar,-200.0
4,mountaincar,-200.0
5,mountaincar,-200.0
6,mountaincar,-200.0
7,mountaincar,-200.0
1,cartpole,15.0
